stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,location_type,parent_station
L00081,L00081,Valgreghentino - villa s.carlo,"",45.782600,9.418783,300081,0,
L00082,L00082,Valgreghentino - sa.l.,"",45.772150,9.412017,300082,0,
L00083,L00083,Airuno - stazione f.s.,"",45.756067,9.423267,300083,0,
L00084,L00084,Airuno - statale,"",45.755233,9.426717,300083,0,
L00086,L00086,Brivio - beverate (cariplo),"",45.740517,9.423083,300063,0,
L00087,L00087,Brivio - vaccarezza,"",45.737017,9.436200,300063,0,
L00088,L00088,Imbersago - chiesa,"",45.705480,9.449280,300718,0,
L00089,L00089,Calco - via statale (edicola),"",45.723817,9.415133,300089,0,
L00090,L00090,Merate - via statale (distributore),"",45.701300,9.410200,300291,0,
L00091,L00091,Cernusco L. - chiesa,"",45.692250,9.399083,300753,0,
L00093,L00093,Carnate - via Libertà,"",45.654020,9.373490,300773,0,
L00094,L00094,Lomagna - bar milano,"",45.668830,9.376060,300094,0,
L00095,L00095,Castello brianza - brianzola,"",45.765667,9.349367,300095,0,
L00096,L00096,Castello brianza - municipio,"",45.754960,9.348610,300429,0,
L00098,L00098,Castello brianza - bivio,"",45.760860,9.341610,300429,0,
L00099,L00099,Castello brianza - cologna,"",45.756950,9.347600,300429,0,
L001009,L001009,"Colico, Istituto Marco Polo","",46.138140,9.384700,300553,0,
L00103,L00103,Vimercate - via cremagnani,"",45.613640,9.362260,300103,0,
L00113,L00113,Arcore - via casati (emiliana),"",45.620400,9.316433,300324,0,
L00114,L00114,Usmate - municipio,"",45.650330,9.360750,300114,0,
L00115,L00115,Ballabio - balisio,"",45.920500,9.438450,300115,0,
L00118,L00118,Barzio - bar garden,"",45.945620,9.467510,300118,0,
L00119,L00119,Moggio - piazza pradello,"",45.931917,9.484383,300119,0,
L00121,L00121,Pasturo,"",45.948020,9.445400,300121,0,
L00123,L00123,Primaluna,"",45.986283,9.429583,300123,0,
L00124,L00124,Primaluna - cortabbio (pesa),"",45.989583,9.415633,300124,0,
L00136,L00136,Lecco - malavedo,"",45.874300,9.404167,300137,0,
L00137,L00137,Lecco - laorca,"",45.879433,9.407250,300137,0,
L00138,L00138,Ballabio - piazza s.lorenzo,"",45.893560,9.422580,300138,0,
L00141,L00141,Pasturo - baiedo (bivio),"",45.956980,9.447020,300229,0,
L00142,L00142,Parlasco - via per esino,"",46.018633,9.345283,300142,0,
L00143,L00143,Cortenova - bindo,"",46.007933,9.380033,300143,0,
L00144,L00144,Cortenova - bivio,"",45.997267,9.396450,300145,0,
L00145,L00145,Cortenova - bivio,"",45.994490,9.391000,300145,0,
L00150,L00150,Ballabio - gera,"",45.900683,9.426883,300138,0,
L00163,L00163,Abbadia Lariana - municipio,"",45.899617,9.332167,300163,0,
L00164,L00164,Mandello lario - guzzi,"",45.915100,9.322750,300164,0,
L00165,L00165,Mandello lario - somana,"",45.931610,9.326650,300165,0,
L00167,L00167,Mandello lario - maggiana crebbio,"",45.913480,9.332090,300661,0,
L00168,L00168,Mandello lario - rongio,"",45.927540,9.328870,300168,0,
L00169,L00169,Mandello lario - olcio chiesa,"",45.935980,9.312760,300169,0,
L00172,L00172,Perledo - regolo,"",46.015933,9.290517,300172,0,
L00173,L00173,Perledo - bar milano,"",46.013883,9.295533,300173,0,
L00174,L00174,Perledo - bologna (bivio),"",46.016550,9.297767,300173,0,
L00175,L00175,Esino lario - piazza italia,"",45.995500,9.334483,300175,0,
L00178,L00178,Mandello lario - molina,"",45.922450,9.322317,300178,0,
L00181,L00181,Esino lario - posta,"",45.993720,9.331980,300175,0,
L00183,L00183,Mandello lario - pra magno,"",45.913067,9.323667,300164,0,
L00191,L00191,Galbiate - autostazione,"",45.816550,9.377800,300191,0,
L00192,L00192,Galbiate - bartesate (lavatoio),"",45.805400,9.376217,300192,0,
L00194,L00194,Ravellino,"",45.772420,9.368930,300194,0,
L00197,L00197,Oggiono - imberido (provinciale),"",45.797533,9.358617,300197,0,
L00198,L00198,Oggiono - via papa giovanni xXXIII,"",45.791520,9.352300,300198,0,
L00201,L00201,Galbiate - vignola,"",45.818850,9.390600,300201,0,
L00202,L00202,Galbiate - colorificio,"",45.817833,9.382967,300202,0,
L00207,L00207,S.Maria Hoe' - paese,"",45.738233,9.387917,300207,0,
L00211,L00211,Lecco - v.le dante (realini),"",45.851883,9.393700,300051,0,
L00214,L00214,Lecco - clinica ponte nuovo,"",45.850130,9.388110,300051,0,
L00215,L00215,Lecco - lungolago imbarcadero,"",45.855883,9.387483,300051,0,
L00216,L00216,Lecco - villa brick,"",45.861490,9.382860,300051,0,
L00223,L00223,Ballabio - superiore,"",45.901467,9.423167,300138,0,
L00227,L00227,Olginate - ponte,"",45.802210,9.413250,300227,0,
L00229,L00229,Pasturo - baiedo (paese),"",45.957350,9.443450,300229,0,
L00232,L00232,Vestreno - bivio via europa,"",46.079683,9.318083,300030,0,
L00290,L00290,Merate - via de gasperi (scuole),"",45.694560,9.424290,300291,0,
L00291,L00291,Merate - piazza italia,"",45.698790,9.414140,300291,0,
L00315,L00315,Valmadrera - stazione f.s.,"",45.846840,9.368430,300315,0,
L00322,L00322,Monza FS - Corso Milano,"",45.578540,9.272230,300322,0,
L00323,L00323,Villasanta - via volta,"",45.605670,9.305970,300451,0,
L00324,L00324,Arcore - stazione f.s.,"",45.623867,9.322850,300324,0,
L00326,L00326,Casatenovo - stadio,"",45.698750,9.312400,300354,0,
L00328,L00328,Missaglia - piazza,"",45.708700,9.334450,300328,0,
L00329,L00329,Monticello - torrevilla (provinciale),"",45.718450,9.317650,300329,0,
L00330,L00330,Barzano' - ronchi,"",45.725400,9.316800,300330,0,
L00331,L00331,Sirtori - bevera statale (fermata asf),"",45.749683,9.331883,300331,0,
L00332,L00332,Vigano' - capolinea,"",45.720130,9.325830,300332,0,
L00333,L00333,Sirtori - municipio,"",45.737433,9.331567,300333,0,
L00334,L00334,Sirone - bivio molteno,"",45.770733,9.318933,300334,0,
L00335,L00335,Dolzago - Via Corsica,"",45.767180,9.341120,300335,0,
L00336,L00336,Casatenovo - villa greppi,"",45.703200,9.305633,300336,0,
L00337,L00337,Seregno - stazione f.s.,"",45.644400,9.206000,300337,0,
L00339,L00339,Carate brianza - v.le lombardia,"",45.669940,9.230140,300339,0,
L00340,L00340,Besana brianza - villa raverio,"",45.689583,9.261850,300340,0,
L00341,L00341,Besana brianza - valle guidino,"",45.696750,9.277083,300341,0,
