scenario_id,topology_family,seed_name,public_route_count,optional_extension_count,public_explicit_anchor_count,extension_explicit_anchor_count,public_intercepted_anchor_count,extension_intercepted_anchor_count,public_intercepted_existing_stop_count,public_intercepted_proposed_stop_count,extension_intercepted_existing_stop_count,extension_intercepted_proposed_stop_count,public_leg_count,public_distance_km,public_runtime_min,public_resolved_leg_count,public_quantified_leg_count,public_unknown_leg_count,public_resolved_distance_km,public_quantified_distance_km,public_unknown_distance_km,extension_leg_count,extension_distance_km,extension_runtime_min,extension_resolved_leg_count,extension_quantified_leg_count,extension_unknown_leg_count,extension_resolved_distance_km,extension_quantified_distance_km,extension_unknown_distance_km
P2_3243bf2883be4de1,two_radial_out_and_back_feeders,,2,0,3,0,11,0,6,4,0,0,4,30.852541773000002,50.890566135,0,4,0,0.0,30.852541773000002,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3244f86455dd54bb,two_radial_out_and_back_feeders,,2,0,3,0,11,0,4,6,0,0,4,12.806546814,26.413729748999998,0,4,0,0.0,12.806546814,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_324539e92fe27c6d,two_radial_out_and_back_feeders,,2,0,3,0,10,0,4,5,0,0,4,18.003197928,32.627757915000004,0,4,0,0.0,18.003197928,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_324b098b28001fd8,two_radial_out_and_back_feeders,,2,0,3,0,9,0,5,3,0,0,4,15.085845257999999,30.576960776,0,4,0,0.0,15.085845257999999,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_324fd0dedde8710e,two_radial_out_and_back_feeders,,2,0,3,0,6,0,3,2,0,0,4,10.372291153,19.927166433,0,4,0,0.0,10.372291153,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_32571e1c947fa5fb,two_radial_out_and_back_feeders,,2,0,3,0,11,0,5,5,0,0,4,16.975515813999998,36.024762897,0,4,0,0.0,16.975515813999998,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_3263160b29c002bb,two_radial_out_and_back_feeders,,2,0,3,0,13,0,9,3,0,0,4,25.899583962,42.204488598000005,0,4,0,0.0,25.899583962,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_32689b55c6ee1885,two_radial_out_and_back_feeders,,2,0,3,0,13,0,11,1,0,0,4,16.809235204,29.33141037,0,4,0,0.0,16.809235204,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_32787e3d9e3d0425,two_radial_out_and_back_feeders,,2,0,3,0,6,0,1,4,0,0,4,11.248487718,24.466013923,0,4,0,0.0,11.248487718,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
P2_327b1a32fac4f103,two_radial_out_and_back_feeders,,2,0,3,0,11,0,8,2,0,0,4,17.345359755,30.883394717,0,4,0,0.0,17.345359755,0.0,0,0.0,0.0,0,0,0,0.0,0.0,0.0
