anchor_id,anchor_type,name,category,lat,lon,epistemic_status,source,x_utm32,y_utm32,walk_graph_node_id,walk_graph_connector_m,walk_graph_connector_min,walk_graph_snap_ok,current_walk_min,current_gap_10min
OSM_POINT_2101450217,SETTLEMENT,Biscioia,hamlet,45.7411407,9.3572487,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,527791.3034154108,5065349.155587659,3355,32.96272238478309,0.41203402980978865,True,7.282169017820533,False
OSM_POINT_2101450222,SETTLEMENT,Bruggione,hamlet,45.7356141,9.3979405,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530959.877115733,5064750.082212742,15944,19.767677900287072,0.2470959737535884,True,13.22833088564462,True
OSM_POINT_2101450231,SETTLEMENT,Cascinette Nere,hamlet,45.7476942,9.3592905,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,527946.8700562937,5066077.972656206,3710,15.703479904394861,0.19629349880493577,True,16.9742997239004,True
OSM_POINT_2101450267,SETTLEMENT,Monticello,hamlet,45.7346613,9.3920896,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530505.1944802746,5064641.977129766,14263,21.50702230655744,0.268837778831968,True,8.285438305393669,False
OSM_POINT_2101450270,SETTLEMENT,Prestabbio,hamlet,45.7460392,9.3623717,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,528187.3694474312,5065895.1801969195,4448,4.987900952975455,0.062348761912193185,True,11.840689663082136,True
OSM_POINT_2101450272,SETTLEMENT,Sancina,hamlet,45.743116,9.3873835,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530134.5041562681,5065579.525087629,12556,44.2587937050462,0.5532349213130775,True,8.019752216088587,False
OSM_POINT_2101450275,SETTLEMENT,Tre Strade,hamlet,45.7390117,9.3909277,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530412.4351217368,5065124.871424261,13831,27.624618144043403,0.34530772680054256,True,4.630496640421848,False
OSM_POINT_2205292238,SETTLEMENT,Spiazzo,hamlet,45.7195342,9.3843226,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,529908.9817681048,5062958.402057007,11617,20.75744078102148,0.2594680097627685,True,30.858633082770854,True
OSM_POINT_2456277169,SETTLEMENT,Mirabella,isolated_dwelling,45.7457599,9.3872997,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,530126.5631964967,5065873.235585633,12399,9.706120506595727,0.1213265063324466,True,15.24066860277952,True
OSM_POINT_2464975482,SETTLEMENT,Sabbione,neighbourhood,45.7111068,9.440317,FACT_OSM_OBSERVATION,data/raw/osm/osm_points_core.geojson,534271.760495302,5062044.558861851,26059,293.1033136153361,3.6637914201917012,False,,True
