physical_cluster_id,threshold_min,population_reachable_2025,population_denominator_2025,cell_count,gtfs_records_used_as_sources,epistemic_status
EX_033,8,655.5580721347754,22914.0,87,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_033,10,921.2378164953849,22914.0,119,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_033,12,1322.2401803604648,22914.0,161,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_035,5,632.7439652496724,22914.0,47,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_035,8,1206.2092671940502,22914.0,95,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_035,10,1750.4083466298252,22914.0,137,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_035,12,2646.3390651322716,22914.0,209,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_036,5,881.7970862952051,22914.0,42,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_036,8,1759.7426628812607,22914.0,107,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_036,10,1978.3859049746943,22914.0,156,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_036,12,2175.1732260032823,22914.0,201,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_037,5,159.18395507369308,22914.0,24,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
EX_037,8,609.967040552775,22914.0,83,1,MODEL_OUTPUT_GATE_B_WALK_GRAPH_MULTI_SOURCE_PHYSICAL_CLUSTER
