stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,platform_code,tts_stop_name
86737,OLI119_86737,"Oliveto L., Onno, Garibaldi 33",,45.908157,9.297191,,,0,,,,,
86728,OLI120_86728,"Oliveto L., Onno, Garibaldi/Alla Piana",,45.903288,9.301122,,,0,,,,,
86731,VLB101_86731,"Valbrona, SP583, fr. Lido",,45.89663,9.31131,,,0,,,,,
86727,MAN102_86727,"Mandello, Melgone, SP583 fr. Motel",,45.88388,9.331658,,,0,,,,,
80336,VAL144_80336,"Valmadrera, Pare', Martini/Parini",,45.857236,9.366586,,,0,,,,,
84912,MAL111_84912,"Malgrate, Italia 32",,45.852143,9.37599,,,0,,,,,
84913,MAL112_84913,"Malgrate, Italia 4",,45.8511,9.3781,,,0,,,,,
84914,MAL113_84914,"Malgrate, Italia 38",,45.848853,9.383954,,,0,,,,,
80337,LEC039_80337,"Lecco, Da Vinci/Lazzaretto",,45.850474,9.388239,,,0,,,,,
80500,LEC041_80500,"Lecco, Costituzione/Caprera",,45.851941,9.390841,,,0,,,,,
86831,CAL001_86831,"Calolziocorte, FS Autostazione, Stoppani",,45.80229,9.4252696,,,0,,,,,
80348,CAL002_80348,"Calolziocorte, De Gasperi/Mazzini",,45.80226,9.420517,,,0,,,,,
80489,CAL005_80489,"Calolziocorte, Dante/fr. Industriale",,45.805732,9.425659,,,0,,,,,
85074,VER102_85074,"Vercurago, FS, Roma Municipio",,45.81128,9.424254,,,0,,,,,
85075,LEC238_85075,"Lecco, Chiuso, Bergamo/Brini",,45.81688,9.419904,,,0,,,,,
84939,LEC102_84939,"Lecco, Chiuso, Bergamo fr. 106",,45.820265,9.419162,,,0,,,,,
