budget_suffix,annual_bus_km_cap,max_headway_min,scenario_id,topology_family,public_population_covered_10min,public_population_coverage_share_10min,public_worst_municipality_10min,public_worst_municipality_coverage_share_10min,public_structurally_addressable_od_relation_count,public_structurally_addressable_worker_od_mass_upper_bound,frequency_capability_frontier,service_policy_selected,topology_selected,s8_phase_selected
m10pct,100277.100000,30,P2_d86502ecc64d77d7,blank_slate,3666.890134741184,0.160681646460,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m10pct,100277.100000,30,P2_ed3958cdea7d70cd,hybrid_interlined,3254.164154718545,0.142596160511,Calco,0.022754516200,2,134.000000000,true,false,false,false
m10pct,100277.100000,30,P2_f77c2ba98980326c,blank_slate,3131.686018976129,0.137229218011,Brivio,0E-12,9,844.000000000,true,false,false,false
m10pct,100277.100000,30,P2_f90598a41d4d09f8,blank_slate,2884.350187120828,0.126391061636,Olgiate Molgora,0.036101820563,12,641.000000000,true,false,false,false
m10pct,100277.100000,60,P2_0164d5c6797767d3,two_independent_loops,6898.365967445059,0.302283613853,Calco,0.104477910587,6,375.000000000,true,false,false,false
m10pct,100277.100000,60,P2_017387704e90dfa7,interlined_figure8,7817.628539832243,0.342565328939,Calco,0.097892609332,12,567.000000000,true,false,false,false
m10pct,100277.100000,60,P2_068cf386067d7572,two_independent_loops,2387.975252328618,0.104640112234,La Valletta Brianza,0.047087312348,16,1367.000000000,true,false,false,false
m10pct,100277.100000,60,P2_16ca71fbeb90f261,interlined_figure8,8260.415486733327,0.361968074329,Santa Maria Hoè,0E-12,12,753.000000000,true,false,false,false
m10pct,100277.100000,60,P2_2ce4f2671496dafa,two_independent_loops,2654.908368955681,0.116337013722,La Valletta Brianza,0.022518683609,16,1367.000000000,true,false,false,false
m10pct,100277.100000,60,P2_3952117a13ec7506,two_independent_loops,7817.628539832243,0.342565328939,Calco,0.097892609332,12,567.000000000,true,false,false,false
m10pct,100277.100000,60,P2_403bd211d5dc32c5,blank_slate,6029.231541257114,0.264198493911,La Valletta Brianza,0.169393844228,12,567.000000000,true,false,false,false
